iter	Passed	Remaining
0	0	90
1	1	88
2	2	78
3	2	71
4	3	69
5	4	66
6	4	65
7	5	63
8	6	63
9	6	62
10	7	61
11	8	61
12	9	60
13	9	60
14	10	59
15	11	58
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	16	54
23	16	53
24	17	52
25	18	53
26	19	53
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	44
40	30	43
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	70	0
